"","State","FIPSCode","JurisdictionName.x","C1b","C1a"
"1","CT",900104720,"BETHEL TOWN",633,627
"2","CT",900108070,"BRIDGEPORT TOWN",2503,2345
"3","CT",900108980,"BROOKFIELD TOWN",808,789
"4","CT",900118500,"DANBURY TOWN",1823,1798
"5","CT",900118850,"DARIEN TOWN",1550,1516
"6","CT",900123890,"EASTON TOWN",469,458
"7","CT",900126620,"FAIRFIELD TOWN",3168,3093
"8","CT",900133620,"GREENWICH TOWN",3886,3850
"9","CT",900148620,"MONROE TOWN",859,839
"10","CT",900150580,"NEW CANAAN TOWN",1640,1622
"11","CT",900150860,"NEW FAIRFIELD TOWN",659,658
"12","CT",900152980,"NEWTOWN TOWN",1611,1586
"13","CT",900156060,"NORWALK TOWN",2708,2676
"14","CT",900163480,"REDDING TOWN",810,801
"15","CT",900163970,"RIDGEFIELD TOWN",1917,1888
"16","CT",900168170,"SHELTON TOWN",1586,1569
"17","CT",900168310,"SHERMAN TOWN",251,247
"18","CT",900173070,"STAMFORD TOWN",5006,4851
"19","CT",900174190,"STRATFORD TOWN",1580,1551
"20","CT",900177200,"TRUMBULL TOWN",1873,1841
"21","CT",900183430,"WESTON TOWN",898,895
"22","CT",900183500,"WESTPORT TOWN",2434,2379
"23","CT",900186370,"WILTON TOWN",1474,1461
"24","CT",900302060,"AVON TOWN",1330,1316
"25","CT",900304300,"BERLIN TOWN",844,828
"26","CT",900308490,"BRISTOL TOWN",1618,1601
"27","CT",900310100,"BURLINGTON TOWN",369,362
"28","CT",900312270,"CANTON TOWN",591,584
"29","CT",900322070,"EAST GRANBY TOWN",202,201
"30","CT",900322630,"EAST HARTFORD TOWN",893,858
"31","CT",900324800,"EAST WINDSOR TOWN",346,333
"32","CT",900325990,"ENFIELD TOWN",1170,1152
"33","CT",900327600,"FARMINGTON TOWN",1510,1476
"34","CT",900331240,"GLASTONBURY TOWN",2085,1996
"35","CT",900332640,"GRANBY TOWN",529,526
"36","CT",900337070,"HARTFORD TOWN",2401,2319
"37","CT",900344700,"MANCHESTER TOWN",1696,1676
"38","CT",900345820,"MARLBOROUGH TOWN",292,289
"39","CT",900350440,"NEW BRITAIN TOWN",1145,1121
"40","CT",900352140,"NEWINGTON TOWN",975,952
"41","CT",900365370,"ROCKY HILL TOWN",831,812
"42","CT",900368940,"SIMSBURY TOWN",1642,1612
"43","CT",900370550,"SOUTHINGTON TOWN",1687,1647
"44","CT",900371390,"SOUTH WINDSOR TOWN",1230,1217
"45","CT",900374540,"SUFFIELD TOWN",699,686
"46","CT",900384900,"WETHERSFIELD TOWN",873,865
"47","CT",900387000,"WINDSOR TOWN",1147,1119
"48","CT",900387070,"WINDSOR LOCKS TOWN",328,326
"49","CT",900502760,"BARKHAMSTED TOWN",155,152
"50","CT",900504930,"BETHLEHEM TOWN",170,161
"51","CT",900508210,"BRIDGEWATER TOWN",137,127
"52","CT",900510940,"CANAAN TOWN",94,92
"53","CT",900517240,"CORNWALL TOWN",137,134
"54","CT",900532290,"GOSHEN TOWN",128,126
"55","CT",900537280,"HARWINTON TOWN",249,247
"56","CT",900540290,"KENT TOWN",2,0
"57","CT",900543370,"LITCHFIELD TOWN",451,447
"58","CT",900549460,"MORRIS TOWN",106,103
"59","CT",900551350,"NEW HARTFORD TOWN",321,317
"60","CT",900552630,"NEW MILFORD TOWN",909,905
"61","CT",900553470,"NORFOLK TOWN",108,105
"62","CT",900565930,"ROXBURY TOWN",211,206
"63","CT",900566420,"SALISBURY TOWN",416,408
"64","CT",900567960,"SHARON TOWN",182,181
"65","CT",900575730,"THOMASTON TOWN",205,201
"66","CT",900576570,"TORRINGTON TOWN",1020,1004
"67","CT",900579720,"WASHINGTON TOWN",350,348
"68","CT",900580490,"WATERTOWN TOWN",677,672
"69","CT",900714300,"CHESTER TOWN",238,236
"70","CT",900715350,"CLINTON TOWN",608,589
"71","CT",900718080,"CROMWELL TOWN",633,627
"72","CT",900719130,"DEEP RIVER TOWN",185,182
"73","CT",900720810,"DURHAM TOWN",357,354
"74","CT",900722280,"EAST HADDAM TOWN",377,370
"75","CT",900722490,"EAST HAMPTON TOWN",441,433
"76","CT",900726270,"ESSEX TOWN",480,469
"77","CT",900735230,"HADDAM TOWN",374,369
"78","CT",900740710,"KILLINGWORTH TOWN",410,404
"79","CT",900747080,"MIDDLEFIELD TOWN",206,205
"80","CT",900747360,"MIDDLETOWN TOWN",1577,1545
"81","CT",900757320,"OLD SAYBROOK TOWN",783,777
"82","CT",900761800,"PORTLAND TOWN",536,526
"83","CT",900781680,"WESTBROOK TOWN",307,305
"84","CT",900901220,"ANSONIA TOWN",351,349
"85","CT",900903250,"BEACON FALLS TOWN",198,197
"86","CT",900904580,"BETHANY TOWN",256,255
"87","CT",900907310,"BRANFORD TOWN",1346,1329
"88","CT",900914160,"CHESHIRE TOWN",765,725
"89","CT",900919550,"DERBY TOWN",302,300
"90","CT",900922910,"EAST HAVEN TOWN",841,822
"91","CT",900934950,"GUILFORD TOWN",1458,1441
"92","CT",900935650,"HAMDEN TOWN",1988,1950
"93","CT",900944560,"MADISON TOWN",1396,1377
"94","CT",900946520,"MERIDEN TOWN",1347,1337
"95","CT",900946940,"MIDDLEBURY TOWN",419,411
"96","CT",900947535,"MILFORD TOWN",2082,2037
"97","CT",900949950,"NAUGATUCK TOWN",668,658
"98","CT",900952070,"NEW HAVEN TOWN",2564,2483
"99","CT",900953890,"NORTH BRANFORD TOWN",532,524
"100","CT",900957600,"ORANGE TOWN",861,854
"101","CT",900962290,"PROSPECT TOWN",351,343
"102","CT",900967610,"SEYMOUR TOWN",474,472
"103","CT",900969640,"SOUTHBURY TOWN",1277,1244
"104","CT",900978740,"WALLINGFORD TOWN",2225,2002
"105","CT",900980070,"WATERBURY TOWN",1956,1921
"106","CT",900982870,"WEST HAVEN TOWN",1510,1435
"107","CT",900987560,"WOLCOTT TOWN",510,500
"108","CT",900987700,"WOODBRIDGE TOWN",722,718
"109","CT",901106820,"BOZRAH TOWN",77,76
"110","CT",901115910,"COLCHESTER TOWN",676,672
"111","CT",901123400,"EAST LYME TOWN",1096,1071
"112","CT",901133900,"GRISWOLD TOWN",185,183
"113","CT",901134250,"GROTON TOWN",1456,1434
"114","CT",901142390,"LEBANON TOWN",260,257
"115","CT",901142600,"LEDYARD TOWN",490,482
"116","CT",901144210,"LYME TOWN",171,166
"117","CT",901148900,"MONTVILLE TOWN",430,415
"118","CT",901152350,"NEW LONDON TOWN",548,541
"119","CT",901157040,"OLD LYME TOWN",648,640
"120","CT",901166210,"SALEM TOWN",171,170
"121","CT",901171670,"SPRAGUE TOWN",73,71
"122","CT",901173770,"STONINGTON TOWN",1023,1018
"123","CT",901180280,"WATERFORD TOWN",846,836
"124","CT",901301080,"ANDOVER TOWN",93,91
"125","CT",901306260,"BOLTON TOWN",157,153
"126","CT",901325360,"ELLINGTON TOWN",451,441
"127","CT",901337910,"HEBRON TOWN",468,465
"128","CT",901344910,"MANSFIELD TOWN",674,662
"129","CT",901369220,"SOMERS TOWN",452,439
"130","CT",901372090,"STAFFORD TOWN",394,388
"131","CT",901376290,"TOLLAND TOWN",538,531
"132","CT",901377830,"UNION TOWN",21,20
"133","CT",901378250,"VERNON TOWN",763,751
"134","CT",901501430,"ASHFORD TOWN",134,131
"135","CT",901509190,"BROOKLYN TOWN",242,231
"136","CT",901512130,"CANTERBURY TOWN",137,135
"137","CT",901513810,"CHAPLIN TOWN",33,32
"138","CT",901540500,"KILLINGLY TOWN",403,396
"139","CT",901561030,"POMFRET TOWN",174,172
"140","CT",901562710,"PUTNAM TOWN",179,175
"141","CT",901573420,"STERLING TOWN",57,55
"142","CT",901575870,"THOMPSON TOWN",246,233
"143","CT",901588190,"WOODSTOCK TOWN",386,380
"144","HI",1500100000,"HAWAII COUNTY",29289,27863
"145","IL",1705500000,"FRANKLIN COUNTY",790,383
"146","MS",2802700000,"COAHOMA COUNTY",676,667
"147","MS",2812500000,"SHARKEY COUNTY",254,238
"148","SD",4600300000,"AURORA",216,211
"149","SD",4601500000,"BRULE",589,576
"150","SD",4604100000,"DEWEY",203,202
"151","SD",4607500000,"JONES",105,104
"152","SD",4608100000,"LAWRENCE",5069,5003
"153","SD",4610900000,"ROBERTS",588,586
"154","TX",4821500000,"HIDALGO COUNTY",7801,0
"155","TX",4838900000,"REEVES COUNTY",2093,370
