STATE,vot_pop_50,vot_pop_70,vot_pop_50_total,vot_pop_70_total
AK,263898,369454,111666724,156333039
AL,1819728,2547618,111666724,156333039
AR,1087648,1522702,111666724,156333039
AZ,2306784,3229499,111666724,156333039
CA,12291287,17207796,111666724,156333039
CO,1912204,2677080,111666724,156333039
CT,1291439,1808015,111666724,156333039
DC,247044,345861,111666724,156333039
DE,344825,482756,111666724,156333039
FL,7097932,9937097,111666724,156333039
GA,3531861,4944585,111666724,156333039
HI,503363,704707,111666724,156333039
IA,1147495,1606484,111666724,156333039
ID,574437,804208,111666724,156333039
IL,4501716,6302383,111666724,156333039
IN,2412256,3377141,111666724,156333039
KS,1030861,1443192,111666724,156333039
KY,1656875,2319602,111666724,156333039
LA,1716000,2402391,111666724,156333039
MA,2443658,3421121,111666724,156333039
MD,1785359,2499500,111666724,156333039
ME,525928,736301,111666724,156333039
MI,3704292,5185998,111666724,156333039
MN,1990211,2786291,111666724,156333039
MO,2273910,3183462,111666724,156333039
MS,1108860,1552395,111666724,156333039
MT,394739,552623,111666724,156333039
NC,3601877,5042605,111666724,156333039
ND,277833,388959,111666724,156333039
NE,670489,938668,111666724,156333039
NH,513814,719337,111666724,156333039
NJ,3043630,4261084,111666724,156333039
NM,732112,1024953,111666724,156333039
NV,951136,1331590,111666724,156333039
NY,6802912,9524068,111666724,156333039
OH,4367043,6113848,111666724,156333039
OK,1393813,1951325,111666724,156333039
OR,1455654,2037914,111666724,156333039
PA,4862905,6808060,111666724,156333039
RI,390123,546172,111666724,156333039
SC,1810404,2534558,111666724,156333039
SD,NA,NA,111666724,156333039
TN,2438279,3413577,111666724,156333039
TX,8588748,12024218,111666724,156333039
UT,951741,1332431,111666724,156333039
VA,2999419,4199176,111666724,156333039
VT,246763,345470,111666724,156333039
WA,2504010,3505607,111666724,156333039
WI,2156634,3019277,111666724,156333039
WV,726592,1017226,111666724,156333039
WY,216183,302654,111666724,156333039
