"","State","total_equal_per","total_bigger_per","total_smaller_per","total_uneqal_per"
"1","AK",1,0,0,0
"2","AL",NA,NA,NA,NA
"3","AR",NA,NA,NA,NA
"4","AZ",NA,NA,NA,NA
"5","CA",NA,NA,NA,NA
"6","CO",1,0,0,0
"7","CT",NA,NA,NA,NA
"8","DC",1,0,0,0
"9","DE",1,0,0,0
"10","FL",0.865671641791045,0.134328358208955,0,0.134328358208955
"11","GA",1,0,0,0
"12","HI",NA,NA,NA,NA
"13","IA",1,0,0,0
"14","ID",0.909090909090909,0.0909090909090909,0,0.0909090909090909
"15","IL",NA,NA,NA,NA
"16","IN",0.956521739130435,0,0.0434782608695652,0.0434782608695652
"17","KS",0.647619047619048,0.352380952380952,0,0.352380952380952
"18","KY",0.875,0.125,0,0.125
"19","LA",0.796875,0.203125,0,0.203125
"20","MA",1,0,0,0
"21","MD",1,0,0,0
"22","ME",NA,NA,NA,NA
"23","MI",1,0,0,0
"24","MN",1,0,0,0
"25","MO",0.991379310344828,0.00862068965517241,0,0.00862068965517241
"26","MS",NA,NA,NA,NA
"27","MT",1,0,0,0
"28","NC",1,0,0,0
"29","ND",NA,NA,NA,NA
"30","NE",1,0,0,0
"31","NH",1,0,0,0
"32","NJ",1,0,0,0
"33","NM",NA,NA,NA,NA
"34","NV",0.941176470588235,0.0588235294117647,0,0.0588235294117647
"35","NY",0.661290322580645,0.338709677419355,0,0.338709677419355
"36","OH",0.988636363636364,0.0113636363636364,0,0.0113636363636364
"37","OK",0.909090909090909,0.0779220779220779,0.012987012987013,0.0909090909090909
"38","OR",1,0,0,0
"39","PA",1,0,0,0
"40","RI",NA,NA,NA,NA
"41","SC",1,0,0,0
"42","SD",0.909090909090909,0.0909090909090909,0,0.0909090909090909
"43","TN",1,0,0,0
"44","TX",NA,NA,NA,NA
"45","UT",NA,NA,NA,NA
"46","VA",0.616541353383459,0.383458646616541,0,0.383458646616541
"47","VT",0.747967479674797,0.0040650406504065,0.247967479674797,0.252032520325203
"48","WA",0.974358974358974,0.0256410256410256,0,0.0256410256410256
"49","WI",1,0,0,0
"50","WV",NA,NA,NA,NA
"51","WY",0.869565217391304,0.130434782608696,0,0.130434782608696
